wavelength_nm,relative_intensity
1524.63,0.21703242
1524.64,0.21970157
1524.65,0.21863829
1524.66,0.22089946
1524.67,0.22176646
1524.68,0.21988419
1524.69,0.22064683
1524.7,0.21797661
1524.71,0.21932532
1524.72,0.21879326
1524.73,0.21925798
1524.74,0.22158557
1524.75,0.22119409
1524.76,0.22454092
1524.77,0.21906842
1524.78,0.22428678
1524.79,0.22371662
1524.8,0.22116071
1524.81,0.22295909
1524.82,0.2267045
1524.83,0.22458662
1524.84,0.22381173
1524.85,0.22417425
1524.86,0.22360009
1524.87,0.22369355
1524.88,0.22747092
1524.89,0.22717206
1524.9,0.22875097
1524.91,0.23132451
1524.92,0.23028527
1524.93,0.23306653
1524.94,0.23069455
1524.95,0.2305815
1524.96,0.23085228
1524.97,0.2303157
1524.98,0.23608682
1524.99,0.23274982
1525.0,0.23196405
1525.01,0.23191121
1525.02,0.2287121
1525.03,0.22980621
1525.04,0.23034166
1525.05,0.23390149
1525.06,0.23491465
1525.07,0.23484153
1525.08,0.23801544
1525.09,0.23989482
1525.1,0.23703626
1525.11,0.23608036
1525.12,0.23797195
1525.13,0.23966767
1525.14,0.23946878
1525.15,0.24087502
1525.16,0.24069868
1525.17,0.2421147
1525.18,0.2439296
1525.19,0.24458314
1525.2,0.24408111
1525.21,0.2444632
1525.22,0.24227619
1525.23,0.24157605
1525.24,0.2422381
1525.25,0.24424434
1525.26,0.2453377
1525.27,0.24752407
1525.28,0.24453029
1525.29,0.24765655
1525.3,0.24745363
1525.31,0.2474659
1525.32,0.2539319
1525.33,0.25473988
1525.34,0.24827726
1525.35,0.24772644
1525.36,0.25029728
1525.37,0.25513613
1525.38,0.2536818
1525.39,0.25491533
1525.4,0.26076147
1525.41,0.25798008
1525.42,0.2576129
1525.43,0.26023683
1525.44,0.26067162
1525.45,0.2615862
1525.46,0.25905645
1525.47,0.26006183
1525.48,0.25794616
1525.49,0.25954476
1525.5,0.26397538
1525.51,0.26167375
1525.52,0.25869617
1525.53,0.26056337
1525.54,0.26243073
1525.55,0.26527122
1525.56,0.26718584
1525.57,0.26903144
1525.58,0.26872748
1525.59,0.26692736
1525.6,0.26711065
1525.61,0.27082708
1525.62,0.2648592
1525.63,0.26982537
1525.64,0.27032143
1525.65,0.26864833
1525.66,0.2702477
1525.67,0.27003285
1525.68,0.2712826
1525.69,0.27321064
1525.7,0.2737685
1525.71,0.2778222
1525.72,0.27575934
1525.73,0.2736929
1525.74,0.27412206
1525.75,0.2793795
1525.76,0.27609265
1525.77,0.27848443
1525.78,0.28251767
1525.79,0.28248367
1525.8,0.28049308
1525.81,0.28407878
1525.82,0.28558564
1525.83,0.2880474
1525.84,0.28804055
1525.85,0.28880355
1525.86,0.2853465
1525.87,0.2886021
1525.88,0.28841904
1525.89,0.2886374
1525.9,0.29031175
1525.91,0.28851953
1525.92,0.29451615
1525.93,0.29503918
1525.94,0.29386032
1525.95,0.29581577
1525.96,0.29564396
1525.97,0.29285088
1525.98,0.2997218
1525.99,0.29715356
1526.0,0.29799905
1526.01,0.29960617
1526.02,0.29807213
1526.03,0.30191305
1526.04,0.30314526
1526.05,0.30148673
1526.06,0.30438536
1526.07,0.3071205
1526.08,0.31004483
1526.09,0.30740806
1526.1,0.3102114
1526.11,0.3111878
1526.12,0.30946648
1526.13,0.3127339
1526.14,0.31461447
1526.15,0.32080078
1526.16,0.31327716
1526.17,0.31942958
1526.18,0.3224233
1526.19,0.32282794
1526.2,0.3219924
1526.21,0.32123354
1526.22,0.3192433
1526.23,0.31812814
1526.24,0.3202951
1526.25,0.32347652
1526.26,0.3239575
1526.27,0.3279647
1526.28,0.3257202
1526.29,0.3275393
1526.3,0.32828474
1526.31,0.32839963
1526.32,0.32843858
1526.33,0.33226377
1526.34,0.3326517
1526.35,0.33197874
1526.36,0.336371
1526.37,0.33744028
1526.38,0.33587834
1526.39,0.3383541
1526.4,0.33971912
1526.41,0.34160882
1526.42,0.34377357
1526.43,0.34260905
1526.44,0.3434945
1526.45,0.34604132
1526.46,0.34407112
